Date : 2026-01-29 23:56:07
Directory : /Users/bespin-starter/Documents/personal_projects/BesPick
Total : 150 files,  40002 codes, 34 comments, 2553 blanks, all 42589 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/header-button.tsx                                                | TypeScript JSX     |         45 |          0 |          3 |         48 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/hosthub-subheader.tsx                                            | TypeScript JSX     |        155 |          1 |          9 |        165 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/morale-subheader.tsx                                             | TypeScript JSX     |        155 |          1 |          8 |        164 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/user-assignment-menu.tsx                                         | TypeScript JSX     |         69 |          0 |          4 |         73 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/landing/landing-background-toggle.tsx                                   | TypeScript JSX     |         54 |          0 |          8 |         62 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/landing/missing-assignments-warning.tsx                                 | TypeScript JSX     |         86 |          0 |         13 |         99 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/landing/vanta-net-background.tsx                                        | TypeScript JSX     |        167 |          0 |         15 |        182 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/metadata/metadata-options-provider.tsx                                  | TypeScript JSX     |         29 |          0 |          7 |         36 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/payments/paypal-panel.tsx                                               | TypeScript JSX     |        141 |          0 |         12 |        153 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/poll/poll-modal.tsx                                                     | TypeScript JSX     |        574 |          3 |         30 |        607 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/voting/voting-leaderboard.tsx                                           | TypeScript JSX     |        389 |          0 |         33 |        422 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/voting/voting-modal.tsx                                                 | TypeScript JSX     |      1,115 |          0 |         51 |      1,166 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/lib/announcements.ts                                                               | TypeScript         |         24 |          0 |          5 |         29 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/lib/api.ts                                                                         | TypeScript         |         38 |          0 |          2 |         40 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/lib/apiClient.ts                                                                   | TypeScript         |        104 |          0 |         10 |        114 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/lib/assignment-modal-events.ts                                                     | TypeScript         |         21 |          0 |          4 |         25 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/lib/hosthub-docs.ts                                                                | TypeScript         |         41 |          0 |          4 |         45 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/lib/hosthub-events.ts                                                              | TypeScript         |         64 |          0 |         12 |         76 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/lib/hosthub-schedule-rules.ts                                                      | TypeScript         |        130 |          0 |         19 |        149 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/lib/hosthub-schedule-utils.ts                                                      | TypeScript         |         22 |          0 |          4 |         26 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/lib/liveEvents.ts                                                                  | TypeScript         |         41 |          1 |          4 |         46 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/lib/metadata-options.ts                                                            | TypeScript         |         36 |          0 |          5 |         41 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/lib/org.ts                                                                         | TypeScript         |        146 |          0 |         22 |        168 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/proxy.ts                                                                           | TypeScript         |         30 |          5 |          8 |         43 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/actions.ts                                                                  | TypeScript         |        171 |          0 |          3 |        174 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/actions/assignments.ts                                                      | TypeScript         |        151 |          0 |         15 |        166 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/actions/hosthub-event-overrides.ts                                          | TypeScript         |        467 |          0 |         32 |        499 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/actions/hosthub-schedule-refresh.ts                                         | TypeScript         |        291 |          0 |         12 |        303 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/actions/hosthub-schedule-rules.ts                                           | TypeScript         |        127 |          0 |         12 |        139 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/actions/hosthub-shift-swaps.ts                                              | TypeScript         |         78 |          0 |         14 |         92 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/actions/roster.ts                                                           | TypeScript         |        264 |          0 |         23 |        287 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/actions/site-settings.ts                                                    | TypeScript         |        338 |          0 |         35 |        373 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/auth.ts                                                                     | TypeScript         |         69 |          0 |         11 |         80 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/auth/check-role.ts                                                          | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/db/client.ts                                                                | TypeScript         |        555 |          0 |         13 |        568 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/db/schema.ts                                                                | TypeScript         |        416 |          0 |         21 |        437 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/events.ts                                                                   | TypeScript         |         17 |          0 |          5 |         22 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/integrations/mattermost.ts                                                  | TypeScript         |        117 |          0 |         15 |        132 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/payments/paypal.ts                                                          | TypeScript         |        131 |          0 |         22 |        153 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/security/csrf.ts                                                            | TypeScript         |         14 |          0 |          1 |         15 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/services/announcements.ts                                                   | TypeScript         |      3,443 |          0 |        235 |      3,678 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/services/hosthub-schedule.ts                                                | TypeScript         |      1,864 |          0 |        190 |      2,054 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/services/hosthub-shift-swaps.ts                                             | TypeScript         |        503 |          0 |         42 |        545 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/services/mattermost-notifications.ts                                        | TypeScript         |        639 |          0 |         53 |        692 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/services/site-settings.ts                                                   | TypeScript         |        359 |          0 |         33 |        392 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/server/services/storage.ts                                                         | TypeScript         |        103 |          1 |          9 |        113 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/types/db.ts                                                                        | TypeScript         |        162 |          0 |         16 |        178 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/types/globals.d.ts                                                                 | TypeScript         |         20 |          0 |          4 |         24 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/tsconfig.json                                                                          | JSON with Comments |         34 |          0 |          1 |         35 |
| Total                                                                                                                                                    |                    |     40,002 |         34 |      2,553 |     42,589 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
